47,16,PICKGLOW TRADING,32142 STEELDALE KHAMI Bulawayo,0,f,0,22:00,MULTIPLE
48,16,PICKGLOW TRADING (PVT) LTD,466 MHEMBWE CLOSE KARIBA,0,f,0,22:00,MULTIPLE
49,16,PICKGLOW TRADING,253 Tsholotsho Centre Tsholotsho,0,f,0,22:00,MULTIPLE
50,16,PICKGLOW TRADING (PVT) LTD,136 CORONATION DRIVE HWANGE,0,f,0,22:00,MULTIPLE
51,16,PICKGLOW TRADING (PVT) LTD,90 Scott Road Hatfield Harare,0,f,0,22:00,MULTIPLE
52,16,PICKGLOW TRADING (PVT) LTD,3343 Nyamhunga Township Kariba,0,f,0,22:00,MULTIPLE
53,16,PICKGLOW TRADING (PVT) LTD,9 HANDSWORTH MVURWI,0,f,0,22:00,MULTIPLE
54,16,PICKGLOW TRADING (PVT) LTD,1097  GWANDA,0,f,0,22:00,MULTIPLE
55,16,PICKGLOW TRADING,10  Magunje Karoi,0,f,0,22:00,MULTIPLE
56,16,PICKGLOW TRADING (PVT) LTD,982 ROYCE STREET KWEKWE,0,f,0,22:00,MULTIPLE
57,16,PICKGLOW TRADING (PVT) LTD,8234 CROSSROADS BUSINESS NTOBE,0,f,0,22:00,MULTIPLE
58,16,PICKGLOW TRADING (PVT) LTD,182 Simon Mazorodze Waterfalls Harare,0,f,0,22:00,MULTIPLE
59,16,PICKGLOW TRADING (PVT) LTD,77 MOODLE CHIPINGE,0,f,0,22:00,MULTIPLE
60,16,PICKGLOW TRADING (PVT) LTD,216 Hofmeyer Street Masvingo,0,f,0,22:00,MULTIPLE
61,16,PICKGLOW TRADING (PVT) LTD,38 Gleneagles Road Lochinvar,0,f,0,22:00,MULTIPLE
62,16,PICKGLOW TRADING (PVT) LTD,"20 MATETA ROAD INDUSTRIAL,GOKWE",0,f,0,22:00,MULTIPLE
63,16,PICKGLOW TRADING (PVT) LTD,708 Tsvovani Tsvovani Chiredzi,0,f,0,22:00,MULTIPLE
64,16,PICKGLOW TRADING (PVT) LTD,  Chisumbanje Shopping Centre,0,f,0,22:00,MULTIPLE
65,16,PICKGLOW TRADING (PVT) LTD,15 Riverside Drive Mutare,0,f,0,22:00,MULTIPLE
66,16,PICKGLOW TRADING (PVT) LTD,55 SANYATI GROWTH POINT Sanyati,0,f,0,22:00,MULTIPLE
67,19,PETROTRADE (PVT) LTD,7110 Harare-Bulawayo Road Westlea Harare,0,f,0,22:00,MULTIPLE
68,19,PETROTRADE,8571 n/a Gweru,0,f,0,22:00,MULTIPLE
69,19,PETROTRADE (PVT) LTD,100 LEOPOLD TAKAWIRA HARARE,0,f,0,22:00,MULTIPLE
70,19,PETROTRADE (PVT) LTD,7110 Bulawayo Road Warren Park Harare,0,f,0,22:00,MULTIPLE
71,19,PETROTRADE (PVT) LTD,3 Chatsworth Gutu,0,f,0,22:00,MULTIPLE
72,19,PETROTRADE (PVT) LTD,644 Lot 1 Raiway Reserve Kadoma,0,f,0,22:00,MULTIPLE
73,19,PETROTRADE (PVT) LTD,644 DINGUMUZI PLUMTREE,0,f,0,22:00,MULTIPLE
74,19,PETROTRADE (PVT) LTD,1214 Masvingo Mutare High Nyika,0,f,0,22:00,MULTIPLE
75,19,PETROTRADE (PVT) LTD,2572 Harare Mutare Road Marondera,0,f,0,22:00,MULTIPLE
76,19,PETROTRADE (PVT) LTD,8571 CHIMUKANA GROUNDS GWERU,0,f,0,22:00,MULTIPLE
77,19,PETROTRADE (PVT) LTD,2884 MUTARE ROAD RUSAPE,0,f,0,22:00,MULTIPLE
78,19,PETROTRADE (PVT) LTD,7175 Gokwe Gokwe South,0,f,0,22:00,MULTIPLE
79,19,PETROTRADE (PVT) LTD,17 First Street Mutare,0,f,0,22:00,MULTIPLE
80,19,PETROTRADE (PVT) LTD,"2 TANGWENA ROAD CHIKONOHONO, CHINHOYI",0,f,0,22:00,MULTIPLE
81,19,PETROLEUM RANGER (PVT) LTD,1  Shamva,0,f,0,22:00,MULTIPLE
82,19,PETROTRADE (PVT) LTD,110 Mhandamabwe Chivi,0,f,0,22:00,MULTIPLE
83,19,PETROTRADE (PVT) LTD,3656 MZARI EXTENSION CHINHOYI,0,f,0,22:00,MULTIPLE
84,19,PETROLEUM RANGER (PVT) LTD, Mubaira Growth Point Mhondoro,0,f,0,22:00,MULTIPLE
85,19,PETROLEUM RANGER,"22613 Goets Street Ngoni, Norton",0,f,0,22:00,MULTIPLE
86,19,PETROLEUM RANGER (PVT) LTD,11643 Dzivarasekwa 2 Harare,0,f,0,22:00,MULTIPLE
87,19,PETROTRADE (PVT) LTD,461 Miles Road Victoria Falls,0,f,0,22:00,MULTIPLE
88,19,PETROLEUM RANGER (PVT) LTD,1 Rushinga Growth Point Rushinga,0,f,0,22:00,MULTIPLE
89,19,PETROLEUM RANGER (PVT) LTD, Dotito Growth Point Dotito,0,f,0,22:00,MULTIPLE
90,19,PETROLEUM RANGER,1109 Thurlows Ave Bindura Municipality,0,f,0,22:00,MULTIPLE
91,19,PETROTRADE (PVT) LTD,4527 Main Street Chipinge,0,f,0,22:00,MULTIPLE
92,19,PETROLEUM RANGER,1 Copley Drive Msonedi,0,f,0,22:00,MULTIPLE
93,19,PETROTRADE (PVT) LTD,379 Chromer Street Shurugwi,0,f,0,22:00,MULTIPLE
94,19,PETROTRADE (PVT) LTD,1 Roseway Karoi,0,f,0,22:00,MULTIPLE
95,19,PETROLEUM INN (PVT) LTD,6848 Simon Mazorodze Harare,0,f,0,22:00,MULTIPLE
96,19,PETROTRADE (PVT) LTD,17088 Luveve Road Matshobana Bulawayo,0,f,0,22:00,MULTIPLE
97,19,PETROMOC EXOR (PVT) LTD,10536 Beitbridge Road Masvingo,0,f,0,22:00,MULTIPLE
98,19,PETROTRADE (PVT) LTD,6180 EDISON STREET KWEKWE,0,f,0,22:00,MULTIPLE
99,19,PETROTRADE (PVT) LTD,437 First Street Mutare,0,f,0,22:00,MULTIPLE
100,19,PETROMOC EXOR (PVT) LTD,262  MUZARABANI,0,f,0,22:00,MULTIPLE
101,19,PETROMOC EXOR (PVT) LTD,10 ZIMBIRU DOMBOSHAVA,0,f,0,22:00,MULTIPLE
102,19,PETROFOUNTAIN (PVT) LTD,82 Km Peg Harare Masvingo Road Altrina Ranch Beatrice,0,f,0,22:00,MULTIPLE
103,20,XTREME OILS (PVT)  LTD,"16992 SANDE CRESCENT GRANITESIDE,HARARE",0,f,0,22:00,MULTIPLE
104,20,XTREME OILS (PVT)  LTD,660 Nyamapanda High Way Juru,0,f,0,22:00,MULTIPLE
105,20,XTREME OILS (PVT) LTD,14 MAIN ROAD MOUNT DARWIN,0,f,0,22:00,MULTIPLE
106,20,XTREME OILS (PVT) LTD,30 Nelson Mandela Harare,0,f,0,22:00,MULTIPLE
107,21,SOUTHSEA INVESTMENTS (PVT) LTD,2 Horatio Ave Braeside Harare,0,f,0,22:00,MULTIPLE
108,22,ZUVA PETROLEUM (PVT) LTD,6982 Samora Machel Harare,0,f,0,22:00,MULTIPLE
109,22,ZUVA PETROLEUM (PVT) LTD,78 Chishawasha Street Old Mabvuku Harare,0,f,0,22:00,MULTIPLE
110,22,ZUVA PETROLEUM,3 Samora Machel Ave Eastlea Harare,0,f,0,22:00,MULTIPLE
111,22,ZUVA PETROLEUM (PVT)  LTD,9510 Second Street Mutare,0,f,0,22:00,MULTIPLE
112,22,ZUVA PETROLEUM (PVT)  LTD,18595 Samora Machel Ave Harare,0,f,0,22:00,MULTIPLE
113,22,ZUVA PETROLEUM (PVT) LTD,14 Josiah Chinamano Harare,0,f,0,22:00,MULTIPLE
114,22,ZUVA PETROLEUM (PVT) LTD,"9761 OLD ESIGODINI WOODLANDS,BULAWAYO",0,f,0,22:00,MULTIPLE
115,22,ZUVA PETROLEUM,82 Tanganda & Ngundu Road Triangle,0,f,0,22:00,MULTIPLE
116,24,SAKUNDA  ENERGY (PVT) LTD,"143 GUZHA TOWNSHIP CHIKWANHA, CHITUNGWIZA",0,f,0,22:00,MULTIPLE
117,24,SAKUNDA  ENERGY (PVT) LTD,263 Nyamapanda Town Ship Nyamapanda,0,f,0,22:00,MULTIPLE
118,24,SAKUNDA  PETROLEUM (PVT) LTD,5 Kingsway Road Plumtree,0,f,0,22:00,MULTIPLE
119,24,SAKUNDA PETROLEUM (PVT)  LTD,110 Seke Road Graniteside Harare,0,f,0,22:00,MULTIPLE
120,24,SAKUNDA  PETROLEUM (PVT) LTD,4363 MURAMBINDA GROWTH POINT MURAMBINDA,0,f,0,22:00,MULTIPLE
121,24,SAKUNDA  PETROLEUM (PVT) LTD,"1125 Nketa Drive/Mqamlazwe Nketa, Bulawayo",0,f,0,22:00,MULTIPLE
122,24,SAKUNDA PETROLEUM (PVT)  LTD,28 Km Peg Bulawayo Road Turnpike Norton,0,f,0,22:00,MULTIPLE
123,24,SAKUNDA  PETROLEUM (PVT) LTD,381 YORK STREET CHIVHU,0,f,0,22:00,MULTIPLE
124,24,SAKUNDA PETROLEUM (PVT) LTD,"4 JOSIAH TONGOGARA INDUSTRIAL AREA,KADOMA",0,f,0,22:00,MULTIPLE
125,26,REDAN PETROLEUM (PVT) LTD,19207 Unit L Chitungwiza,0,f,0,22:00,MULTIPLE
126,26,REDAN PETROLEUM (PVT)  LTD,"2 Liverpool Road Nyakamete, Mutare",0,f,0,22:00,MULTIPLE
127,26,REDAN PETROLEUM (PVT) LTD,580 Harare - Masvingo Highway Mvuma,0,f,0,22:00,MULTIPLE
