48,Gulf Energy (Pvt) Ltd,1 PLANE CLOSE Chisipite,Fuels and Energy,t,SELLER
49,Imig Trading (Pvt) Ltd,1 Plane Close Chisipite Harare,Fuels and Energy,t,SELLER
50,Kamoso Investments (Pvt) Ltd,23886  Dulibadzimu Beitb,Fuels and Energy,t,SELLER
51,Ring Petroleum (Pvt) Ltd,9 PARKLANE Harare,Fuels and Energy,t,SELLER
52,Billheights Investments (Pvt) Ltd,0 SAM NUJOMA STREET Harare,Fuels and Energy,t,SELLER
53,BELL PETROLEUM (PVT) LTD,20 NORTH END ROAD Borrowdale,Fuels and Energy,t,SELLER
54,Macoil Gas Zimbabwe (Pvt) Ltd,112 Kelvin Road Graniteside Harare,Fuels and Energy,t,SELLER
55,Tashoille Trading (Pvt) Ltd,0 Belmont Bulawayo,Fuels and Energy,t,SELLER
56,Bravo Petroleum (Pvt) Ltd,6 Georges Street Adbennie Harare,Fuels and Energy,t,SELLER
57,Ocean Power Investments (Pvt) Ltd,45 LIVING WATERS COMPLE Beitbridge,Fuels and Energy,t,SELLER
58,Comoil (Pvt) Ltd,32 Knights Bridge Road Newlands Harare,Fuels and Energy,t,SELLER
59,Rockodox Energy (Pvt) Ltd,976 Parson Road Kwekwe,Fuels and Energy,t,SELLER
60,Vital Logistics (Pvt) Ltd,2449 Seke Road Arlington Estate Hre,Fuels and Energy,t,SELLER
61,Mashwede Diesel Services (Pvt) Ltd,"6 KELVIN ROAD NORTH GRANITESIDE, HRE",Fuels and Energy,t,SELLER
62,PETROMOC EXOR (PVT) LTD,"30 CORONATION Greendale, Harare",Fuels and Energy,t,SELLER
63,IMBREX ENTERPRISES (PVT) LTD,61 ROBERT MUGABE WAY Kwekwe,Fuels and Energy,t,SELLER
64,RAVEN COURT FUELS (PVT) LTD,11 SPURN ROAD Ardbennie Harare,Fuels and Energy,t,SELLER
65,Smics Power Zimbabwe Commodities,5TH FLOOR CNR JASON & FIRST ST Batanai Gardens H,Fuels and Energy,t,SELLER
66,Vifot Investments (Pvt) Ltd,19 Breach Road Borrowdale Harare,Fuels and Energy,t,SELLER
67,Highfield Petroleum (Pvt) Ltd,1745 PROSPECT WAY Waterfall Harare,Fuels and Energy,t,SELLER
68,Oilmark (Pvt) Ltd,8 Chikanga Close Rolf Valley Harare,Fuels and Energy,t,SELLER
69,Petzim Trading (Pvt) Ltd,14 GEORGE DRIVE Msasa Harare,Fuels and Energy,t,SELLER
70,Hughber Petroleum (Pvt) Ltd,"106A SPEKE ROAD Prospect, Harare",Fuels and Energy,t,SELLER
71,Tana Oil & Gas (Pvt) Ltd,6 ROSSAL ROAD Greendale Harare,Fuels and Energy,t,SELLER
72,Wagon Distributors (Pvt) Ltd,904 Fidelity Life Centre Bulawayo,Fuels and Energy,t,SELLER
73,Sakunda Trading (Pvt) Ltd,5 Beit Ave Milton Park Harare,Fuels and Energy,t,SELLER
74,Finesse Energy,12 Traill Road Mt Pleasant Harare,Fuels and Energy,t,SELLER
75,Puroil Trading (Pvt) Ltd, PETOIRE B/CENTRE Highlands Harare,Fuels and Energy,t,SELLER
76,Dharwizi Transport (Pvt) Ltd,250 WILLIAMS WAY Msasa Harare,Fuels and Energy,t,SELLER
77,Octabridge Investments (Pvt) Ltd,320 HARROW RD EXTENTION Msasa Harare,Fuels and Energy,t,SELLER
78,Lopdel Energy (Pvt) Ltd,7 Hunt Road Borrowdale Harare,Fuels and Energy,t,SELLER
79,Mayor Logistics (Pvt) Ltd,5 Raleigh St Fidelity L/Tower Hre,Fuels and Energy,t,SELLER
80,Giant Petroleum (Pvt) Ltd,3 Guzha T/Ship Chikwanha,Fuels and Energy,t,SELLER
81,Silversands Petroleum (Pvt) Ltd,80 Mutare Road Msasa Harare,Fuels and Energy,t,SELLER
82,Georgia Petroleum (Pvt) Ltd,6th Floor Gold Bridge Eastgate Harare,Fuels and Energy,t,SELLER
